No,card,age,sex,withdrawal_days,count,CP
1,B,59,1,231,1,1
2,B,51,1,#VALUE!,1,1
3,B,78,1,#VALUE!,1,1
4,B,47,1,#VALUE!,1,1
5,B,57,1,#VALUE!,1,1
6,B,46,0,#VALUE!,1,1
7,B,58,1,344,4,1
8,B,71,1,#VALUE!,1,1
9,B,64,1,#VALUE!,1,1
10,B,83,0,#VALUE!,1,1
11,B,57,1,#VALUE!,1,1
12,B,80,1,#VALUE!,2,1
13,B,47,1,#VALUE!,1,1
14,B,62,1,#VALUE!,1,1
15,B,64,1,#VALUE!,1,1
16,B,68,1,336,1,1
17,B,36,0,#VALUE!,1,1
18,B,57,1,#VALUE!,1,1
19,B,53,1,#VALUE!,1,1
20,B,34,1,#VALUE!,1,1
21,B,32,0,#VALUE!,1,1
22,B,45,1,#VALUE!,1,1
23,B,32,1,368,1,1
24,B,62,0,#VALUE!,1,1
25,R,57,1,#VALUE!,1,1
26,B,45,1,#VALUE!,1,1
27,B,30,1,#VALUE!,1,1
28,B,51,1,#VALUE!,1,1
29,B,37,1,406,1,1
30,B,37,1,#VALUE!,1,1
31,A,31,1,#VALUE!,1,1
32,B,36,1,#VALUE!,1,1
33,B,48,1,#VALUE!,1,1
34,B,32,1,#VALUE!,1,1
35,B,36,1,#VALUE!,1,1
36,B,30,1,#VALUE!,1,1
37,B,28,0,#VALUE!,1,1
38,B,52,1,#VALUE!,1,1
39,B,59,1,421,1,1
40,B,31,1,#VALUE!,1,1
41,A,31,1,#VALUE!,1,1
42,R,37,1,#VALUE!,1,1
43,B,57,1,#VALUE!,1,1
44,B,24,1,#VALUE!,1,1
45,B,38,1,#VALUE!,1,1
46,B,54,1,#VALUE!,1,1
47,B,37,1,#VALUE!,1,1
48,B,62,1,#VALUE!,1,1
49,B,39,1,#VALUE!,1,1
50,B,54,1,#VALUE!,1,1
51,B,23,1,#VALUE!,1,1
52,B,38,1,#VALUE!,1,1
53,A,53,1,#VALUE!,1,1
54,B,65,1,#VALUE!,1,1
55,B,27,1,#VALUE!,1,1
56,B,24,1,#VALUE!,1,1
57,A,41,1,#VALUE!,1,1
58,B,22,1,#VALUE!,1,1
59,B,22,1,#VALUE!,1,1
60,B,80,1,620,1,1
61,A,63,1,#VALUE!,1,1
62,B,24,1,#VALUE!,1,1
63,A,24,1,#VALUE!,1,1
64,B,29,1,#VALUE!,1,1
65,B,87,1,266,1,1
66,B,32,1,#VALUE!,1,1
67,B,57,1,#VALUE!,1,1
68,B,26,1,#VALUE!,1,1
69,A,30,1,#VALUE!,1,1
70,B,84,1,#VALUE!,1,1
71,B,42,1,#VALUE!,1,1
72,B,36,1,#VALUE!,1,1
73,B,29,1,#VALUE!,1,1
74,B,23,1,#VALUE!,1,1
75,B,25,1,#VALUE!,1,1
76,B,25,1,#VALUE!,2,1
77,B,21,1,#VALUE!,1,1
78,B,30,1,#VALUE!,1,1
79,B,25,1,#VALUE!,1,1
80,B,26,1,#VALUE!,1,1
81,B,59,1,#VALUE!,1,1
82,B,74,1,#VALUE!,1,1
83,B,27,1,#VALUE!,1,1
84,A,27,1,#VALUE!,1,1
85,B,32,1,#VALUE!,1,1
86,B,46,1,#VALUE!,1,1
87,B,24,0,#VALUE!,1,1
88,B,22,0,#VALUE!,1,1
89,B,62,1,#VALUE!,1,1
90,B,25,1,#VALUE!,1,1
91,B,27,1,211,1,1
92,B,55,1,26,1,1
93,B,25,1,#VALUE!,1,1
94,B,26,1,#VALUE!,1,1
95,R,32,1,#VALUE!,1,1
96,B,22,1,#VALUE!,1,1
97,B,27,1,#VALUE!,1,1
98,B,25,1,#VALUE!,1,1
99,A,22,1,#VALUE!,1,1
100,B,54,1,#VALUE!,1,1
101,B,29,1,343,1,1
102,B,41,1,#VALUE!,1,1
103,B,59,0,#VALUE!,1,1
104,B,27,1,384,1,1
105,B,55,1,#VALUE!,1,1
106,B,57,1,#VALUE!,1,1
107,B,53,1,#VALUE!,1,1
108,B,23,1,#VALUE!,1,1
109,B,62,1,#VALUE!,1,1
110,B,53,1,252,1,1
111,B,37,0,#VALUE!,1,1
112,B,22,1,#VALUE!,1,1
113,R,33,1,#VALUE!,1,1
114,B,51,1,#VALUE!,1,1
115,B,25,1,#VALUE!,1,1
116,A,24,1,518,1,1
117,B,34,1,#VALUE!,1,1
118,B,49,1,319,1,1
119,B,67,1,392,1,1
120,B,26,1,#VALUE!,1,1
121,B,24,1,#VALUE!,1,1
122,B,62,1,321,1,1
123,B,29,1,113,1,1
124,B,54,0,201,1,1
125,B,24,1,#VALUE!,1,1
126,B,71,1,#VALUE!,1,1
127,B,51,1,#VALUE!,1,1
128,B,54,1,#VALUE!,1,1
129,B,61,0,420,1,1
130,B,52,1,#VALUE!,1,1
131,B,30,1,#VALUE!,1,1
132,B,70,1,#VALUE!,1,1
133,B,21,1,#VALUE!,1,1
134,B,30,1,#VALUE!,1,1
135,B,25,1,#VALUE!,1,1
136,B,47,1,#VALUE!,1,1
137,B,25,1,#VALUE!,1,1
138,B,25,1,#VALUE!,1,1
139,B,27,1,288,2,1
140,B,25,1,#VALUE!,1,1
141,B,22,1,#VALUE!,1,1
142,B,39,1,#VALUE!,1,1
143,B,41,1,#VALUE!,1,1
144,B,34,0,#VALUE!,1,1
145,B,22,1,#VALUE!,1,1
146,B,22,1,#VALUE!,1,1
147,B,47,1,#VALUE!,1,1
148,B,49,1,#VALUE!,1,1
149,A,51,1,#VALUE!,1,1
150,B,24,0,#VALUE!,1,1
151,B,25,1,#VALUE!,1,1
152,A,38,1,#VALUE!,1,1
153,B,35,1,#VALUE!,1,1
154,B,28,1,#VALUE!,1,1
155,B,31,1,368,1,1
156,B,25,1,#VALUE!,1,1
157,A,22,1,288,1,1
158,B,56,1,#VALUE!,1,1
159,B,56,1,#VALUE!,1,1
160,B,25,1,#VALUE!,1,1
161,B,42,1,#VALUE!,1,1
162,B,23,1,#VALUE!,1,1
163,B,25,1,#VALUE!,1,1
164,B,27,1,537,1,1
165,B,26,1,#VALUE!,1,1
166,B,27,1,#VALUE!,1,1
167,B,23,1,#VALUE!,1,1
168,B,36,1,#VALUE!,1,1
169,B,28,1,#VALUE!,1,1
170,B,48,0,#VALUE!,1,1
171,B,60,1,#VALUE!,1,1
172,B,32,0,230,1,1
173,B,47,1,#VALUE!,1,1
174,B,25,1,#VALUE!,1,1
175,B,48,1,#VALUE!,1,1
176,B,27,1,#VALUE!,1,1
177,B,62,1,#VALUE!,1,1
178,B,49,0,#VALUE!,1,1
179,B,57,1,686,1,1
180,B,21,1,#VALUE!,1,1
181,A,39,1,#VALUE!,1,1
182,B,29,1,#VALUE!,1,1
183,B,28,1,#VALUE!,1,1
184,B,26,1,#VALUE!,1,1
185,B,23,1,159,1,1
186,B,25,1,#VALUE!,1,1
187,A,22,1,#VALUE!,1,1
188,B,23,1,#VALUE!,1,1
189,B,85,1,#VALUE!,1,1
190,B,67,1,#VALUE!,1,1
191,B,79,0,#VALUE!,1,1
192,B,66,1,#VALUE!,1,1
193,A,46,1,#VALUE!,1,1
194,B,69,0,#VALUE!,1,1
195,B,75,1,#VALUE!,1,1
196,B,41,1,#VALUE!,1,1
197,B,50,1,#VALUE!,1,1
198,B,83,1,#VALUE!,1,1
199,A,74,1,#VALUE!,1,1
200,B,44,1,188,1,1
201,A,43,1,#VALUE!,1,1
202,B,46,1,432,1,1
203,B,67,1,#VALUE!,1,1
204,B,66,1,#VALUE!,1,1
205,B,38,1,#VALUE!,1,1
206,B,73,1,#VALUE!,1,1
207,B,53,1,#VALUE!,1,1
208,B,88,0,45,1,1
209,B,39,1,395,1,1
210,B,61,0,#VALUE!,1,1
211,B,82,1,431,1,1
212,B,50,1,#VALUE!,1,1
213,B,52,0,#VALUE!,1,1
214,B,65,1,#VALUE!,1,1
215,A,41,1,#VALUE!,1,1
216,B,63,1,#VALUE!,1,1
217,B,50,1,#VALUE!,1,1
218,B,40,1,404,1,1
219,B,83,1,#VALUE!,1,1
220,A,42,1,#VALUE!,1,1
221,B,35,1,#VALUE!,1,1
222,B,38,0,328,1,1
223,B,45,1,#VALUE!,1,1
224,B,75,1,#VALUE!,1,1
225,B,32,1,#VALUE!,1,1
226,B,66,1,#VALUE!,1,1
227,B,57,1,342,1,1
228,B,41,1,#VALUE!,1,1
229,B,64,1,#VALUE!,1,1
230,B,53,0,#VALUE!,1,1
231,B,62,1,335,1,1
232,B,65,1,#VALUE!,1,1
233,B,40,0,#VALUE!,1,1
234,B,47,1,#VALUE!,1,1
235,B,37,1,#VALUE!,1,1
236,B,62,1,398,2,1
237,B,37,1,#VALUE!,1,1
238,A,27,1,#VALUE!,1,1
239,B,98,1,54,1,1
240,B,33,1,#VALUE!,1,1
241,B,60,1,#VALUE!,1,1
242,B,34,0,322,1,1
243,B,46,1,#VALUE!,1,1
244,B,96,0,#VALUE!,1,1
245,B,45,0,#VALUE!,1,1
246,B,87,1,137,1,1
247,B,32,1,#VALUE!,1,1
248,B,25,1,#VALUE!,1,1
249,B,27,1,#VALUE!,1,1
250,B,43,0,374,1,1
251,B,25,1,#VALUE!,1,1
252,B,48,1,#VALUE!,1,1
253,B,61,1,#VALUE!,1,1
254,B,25,1,#VALUE!,1,1
255,B,45,1,#VALUE!,1,1
256,B,37,0,#VALUE!,1,1
257,B,33,1,#VALUE!,1,1
258,B,40,1,#VALUE!,1,1
259,B,23,1,#VALUE!,1,1
260,B,28,1,#VALUE!,1,1
261,B,70,1,#VALUE!,1,1
262,B,68,1,#VALUE!,1,1
263,B,74,1,#VALUE!,1,1
264,B,59,1,#VALUE!,1,1
265,R,44,1,#VALUE!,1,1
266,B,28,0,#VALUE!,1,1
267,B,24,0,#VALUE!,1,1
268,B,22,1,#VALUE!,1,1
269,A,26,1,#VALUE!,1,1
270,B,28,1,#VALUE!,1,1
271,B,25,1,#VALUE!,1,1
272,A,35,0,#VALUE!,1,1
273,B,51,1,#VALUE!,1,1
274,B,24,1,676,1,1
275,B,22,1,#VALUE!,1,1
276,A,25,1,#VALUE!,1,1
277,B,41,1,#VALUE!,1,1
278,B,21,1,#VALUE!,1,1
279,B,28,1,#VALUE!,1,1
280,B,51,1,#VALUE!,1,1
281,B,25,1,#VALUE!,1,1
282,B,21,1,#VALUE!,1,1
283,B,25,1,#VALUE!,1,1
284,B,35,1,#VALUE!,1,1
285,B,53,0,#VALUE!,1,1
286,B,20,1,#VALUE!,1,1
287,B,32,1,#VALUE!,1,1
288,B,39,1,#VALUE!,1,1
289,B,28,1,#VALUE!,1,1
290,B,30,1,#VALUE!,1,1
291,B,31,1,#VALUE!,1,1
292,B,29,1,347,1,1
293,B,45,1,#VALUE!,1,1
294,B,38,1,#VALUE!,1,1
295,B,29,1,#VALUE!,1,1
296,B,32,1,#VALUE!,1,1
297,B,32,1,#VALUE!,1,1
298,B,26,1,#VALUE!,1,1
299,B,28,1,#VALUE!,1,1
300,B,52,1,335,1,1
