No,card,credit1,credit2,work,age,sex,90days,14days,CP
1,B,800000,800000,2,65,0,42428,27819,1
2,B,800000,800000,8,77,0,14931,65592,1
3,B,800000,300000,4,55,1,20000,12663,1
4,B,700000,700000,2,55,1,50734,16092,1
5,B,1000000,1000000,3,56,0,,180000,1
6,B,800000,800000,2,50,0,0,55208,1
7,B,700000,700000,2,52,1,,81675,1
8,B,800000,300000,4,57,1,13543,3969,1
9,R,800000,800000,2,51,1,1934,53460,1
10,B,1300000,1300000,2,49,1,97663,6304,1
11,B,800000,500000,4,78,1,5000,5157,1
12,B,1300000,800000,2,74,0,15153,9990,1
13,B,700000,700000,2,66,0,3107,3582,1
14,B,800000,800000,4,52,1,19646,26820,1
15,B,600000,300000,8,81,0,2114,399,1
16,B,800000,800000,8,80,0,3123,4131,1
17,B,700000,700000,8,80,1,28168,12427,1
18,B,1300000,1300000,2,56,0,0,7133,1
19,B,1500000,1500000,10,65,1,38372,836,1
20,B,700000,700000,1,53,1,0,10128,1
21,A,700000,700000,1,83,1,10991,1475,1
22,B,800000,500000,4,76,1,28853,2694,1
23,B,500000,500000,2,56,1,1081,8264,1
24,B,1300000,300000,4,67,1,366266,39798,1
25,B,500000,500000,4,62,1,19734,12540,1
26,B,800000,800000,4,78,1,7315,24535,1
27,B,700000,700000,3,47,1,21943,10136,1
28,B,1300000,1300000,3,67,0,0,2655,1
29,B,800000,800000,8,70,0,9000,6174,1
30,B,700000,700000,7,80,0,11037,24147,1
31,B,800000,800000,2,51,1,0,50004,1
32,B,800000,300000,4,68,1,39783,22838,1
33,B,700000,200000,7,49,1,130570,42174,1
34,B,900000,300000,7,53,1,354838,20295,1
35,R,1300000,1300000,2,57,1,314553,12942,1
36,B,800000,800000,2,53,1,11343,7344,1
37,B,800000,300000,8,80,1,1930,5392,1
38,R,600000,600000,5,48,0,,148005,1
39,B,500000,300000,7,55,1,15794,24741,1
40,B,1300000,1300000,4,49,1,86973,31997,1
41,B,1000000,500000,8,83,1,12893,37754,1
42,B,800000,300000,8,68,1,28952,12141,1
43,B,700000,500000,2,53,1,8440,4644,1
44,B,1200000,1200000,2,46,1,96003,79250,1
45,B,800000,300000,7,49,1,31238,2931,1
46,B,600000,300000,7,70,0,3557,10912,1
47,B,700000,300000,4,60,1,3797,16335,1
48,B,1300000,1300000,4,56,1,60302,5183,1
49,B,800000,800000,2,55,1,4902,6831,1
50,B,800000,800000,5,66,1,4400,17159,1
51,B,600000,300000,7,48,1,50000,14868,1
52,B,1000000,1000000,2,49,1,1786,22039,1
53,B,800000,800000,2,55,1,13262,48741,1
54,B,700000,700000,8,89,1,0,2933,1
55,B,800000,300000,8,75,1,3157,6688,1
56,B,600000,300000,4,59,1,8066,59886,1
57,B,800000,300000,7,52,1,0,157410,1
58,B,200000,200000,8,87,1,11821,17425,1
59,B,800000,500000,4,74,1,38955,42207,1
60,B,500000,300000,7,58,1,3658,8804,1
61,A,1100000,800000,2,63,1,276674,14110,1
62,B,800000,800000,2,48,1,8772,50607,1
63,A,800000,800000,4,64,1,63161,4494,1
64,B,800000,800000,4,71,1,0,7616,1
65,B,800000,300000,7,73,1,0,29295,1
66,A,1300000,1300000,4,51,1,6928,44150,1
67,B,800000,800000,3,67,1,44062,10505,1
68,B,1200000,1200000,2,53,1,204478,36720,1
69,B,500000,500000,2,52,1,6270,10980,1
70,B,800000,500000,4,72,1,200,105862,1
71,B,800000,300000,7,66,1,19240,13559,1
72,B,500000,500000,2,66,1,15675,111625,1
73,B,800000,800000,8,78,0,,15237,1
74,B,800000,500000,8,74,1,2310,14481,1
75,B,1200000,300000,7,53,1,148763,2394,1
76,B,800000,300000,4,52,1,30941,17266,1
77,B,1300000,800000,2,68,1,43668,20511,1
78,B,1000000,1000000,7,61,1,8981,26343,1
79,B,600000,600000,8,67,1,24175,5292,1
80,B,1000000,300000,7,61,1,101387,67084,1
81,B,800000,800000,2,49,1,0,17820,1
82,B,1100000,600000,2,65,1,36072,150480,1
83,A,1000000,300000,7,49,1,12632,11484,1
84,B,800000,800000,4,54,1,7649,34173,1
85,B,1000000,700000,7,51,1,19015,1062,1
86,B,800000,800000,2,49,0,6584,14988,1
87,B,800000,300000,8,66,1,,9000,1
88,R,1100000,1100000,2,49,1,312891,69498,1
89,B,800000,800000,5,54,1,39805,111078,1
90,B,1300000,1300000,2,51,1,4097,56678,1
91,B,800000,800000,12,53,1,289471,6569,1
92,B,800000,800000,2,49,0,52000,30027,1
93,B,1100000,300000,7,44,1,44052,10818,1
94,B,1200000,1200000,2,43,1,33479,72270,1
95,B,1000000,300000,7,52,1,373612,16720,1
96,B,1300000,1300000,4,67,1,40396,41643,1
97,B,1300000,300000,7,46,1,26101,77319,1
98,B,800000,800000,2,53,1,,138880,1
